Country,R2,RMSE,MAE,Rows
United States,-0.959725125889423,2.198534901279318,1.8501705764006804,90
Australia,0.965409354721458,3.2089836429401926,2.5518632932997263,60
New Zealand,0.9085076191712065,6.757820037743514,5.725926369295657,75
Great Britain,0.9528665978708799,10.310789602496802,7.352816959104988,90
