Model,R2,RMSE,MAE
Random Forest,0.9773487571819761,6.677633562978894,4.478810011081486
Seasonal naive,0.969482504958842,7.750879887504513,5.340236858240053
Ridge,0.9588256487276252,9.00305593052371,6.191917684451543
