Date,Country,Industry_std,Sales_index
2005-05-01,New Zealand,Clothing & Footwear,80.6873365707882
2005-05-01,New Zealand,Department Stores,80.7169650277397
2005-05-01,New Zealand,Nonstore / Online,56.59264282081708
2005-05-01,New Zealand,Supermarkets & Grocery,91.86751114436564
2005-05-01,United States,Building Materials & Garden,104.3251756724012
2005-05-01,United States,Clothing & Footwear,104.3251756724012
2005-05-01,United States,Department Stores,104.3251756724012
2005-05-01,United States,Electronics & Appliances,104.3251756724012
2005-05-01,United States,Nonstore / Online,104.3251756724012
2005-05-01,United States,Supermarkets & Grocery,104.3251756724012
2005-06-01,Australia,Clothing & Footwear,71.57369199539826
2005-06-01,Australia,Department Stores,91.43163194258476
2005-06-01,Australia,Nonstore / Online,64.62371687100219
2005-06-01,Australia,Supermarkets & Grocery,59.37324202236063
2005-06-01,Great Britain,Building Materials & Garden,99.16574977
2005-06-01,Great Britain,Clothing & Footwear,88.96599547642718
2005-06-01,Great Britain,Department Stores,79.46860223739091
2005-06-01,Great Britain,Electronics & Appliances,118.1015819779052
2005-06-01,Great Britain,Nonstore/Online,48.02062872156293
2005-06-01,Great Britain,Supermarkets & Grocery,84.34224808293484
2005-06-01,New Zealand,Building Materials & Garden,91.7832475345052
2005-06-01,New Zealand,Clothing & Footwear,80.6873365707882
2005-06-01,New Zealand,Department Stores,80.7169650277397
2005-06-01,New Zealand,Nonstore / Online,56.59264282081708
2005-06-01,New Zealand,Supermarkets & Grocery,91.86751114436564
2005-06-01,United States,Building Materials & Garden,105.2701720377999
2005-06-01,United States,Clothing & Footwear,105.2701720377999
2005-06-01,United States,Department Stores,105.2701720377999
2005-06-01,United States,Electronics & Appliances,105.2701720377999
2005-06-01,United States,Nonstore / Online,105.2701720377999
2005-06-01,United States,Supermarkets & Grocery,105.2701720377999
2005-07-01,Australia,Clothing & Footwear,69.81473173635139
2005-07-01,Australia,Department Stores,90.17192437469876
2005-07-01,Australia,Nonstore / Online,63.56096124883517
2005-07-01,Australia,Supermarkets & Grocery,60.04325256601575
2005-07-01,Great Britain,Building Materials & Garden,81.54168585225811
2005-07-01,Great Britain,Clothing & Footwear,69.63418431214355
2005-07-01,Great Britain,Department Stores,62.95467879754166
2005-07-01,Great Britain,Electronics & Appliances,94.14809298006642
2005-07-01,Great Britain,Nonstore/Online,38.33766026368288
2005-07-01,Great Britain,Supermarkets & Grocery,67.59396928491121
2005-07-01,New Zealand,Building Materials & Garden,97.30642494459232
2005-07-01,New Zealand,Clothing & Footwear,81.30209723037515
2005-07-01,New Zealand,Department Stores,82.90020439792457
2005-07-01,New Zealand,Nonstore / Online,53.82607221562977
2005-07-01,New Zealand,Supermarkets & Grocery,95.051163967078
2005-07-01,United States,Building Materials & Garden,105.6457475163557
2005-07-01,United States,Clothing & Footwear,105.6457475163557
2005-07-01,United States,Department Stores,105.6457475163557
2005-07-01,United States,Electronics & Appliances,105.6457475163557
2005-07-01,United States,Nonstore / Online,105.6457475163557
2005-07-01,United States,Supermarkets & Grocery,105.6457475163557
2005-08-01,Australia,Clothing & Footwear,71.19524903057302
2005-08-01,Australia,Department Stores,90.73750736436187
2005-08-01,Australia,Nonstore / Online,63.50548774108469
2005-08-01,Australia,Supermarkets & Grocery,60.84564830004614
2005-08-01,Great Britain,Building Materials & Garden,81.69574200246021
2005-08-01,Great Britain,Clothing & Footwear,69.40442138312083
2005-08-01,Great Britain,Department Stores,63.5591663
2005-08-01,Great Britain,Electronics & Appliances,93.20601156
2005-08-01,Great Britain,Nonstore/Online,37.91885851703498
2005-08-01,Great Britain,Supermarkets & Grocery,67.30022296581298
2005-08-01,New Zealand,Building Materials & Garden,97.30642494459232
2005-08-01,New Zealand,Clothing & Footwear,81.30209723037515
2005-08-01,New Zealand,Department Stores,82.90020439792457
2005-08-01,New Zealand,Nonstore / Online,53.82607221562977
2005-08-01,New Zealand,Supermarkets & Grocery,95.051163967078
2005-08-01,United States,Building Materials & Garden,105.5851708262661
2005-08-01,United States,Clothing & Footwear,105.5851708262661
2005-08-01,United States,Department Stores,105.5851708262661
2005-08-01,United States,Electronics & Appliances,105.5851708262661
2005-08-01,United States,Nonstore / Online,105.5851708262661
2005-08-01,United States,Supermarkets & Grocery,105.5851708262661
2005-09-01,Australia,Clothing & Footwear,71.64831455184269
2005-09-01,Australia,Department Stores,89.374966525628
2005-09-01,Australia,Nonstore / Online,62.82228769826303
2005-09-01,Australia,Supermarkets & Grocery,60.91335675619229
2005-09-01,Great Britain,Building Materials & Garden,101.31956113534667
2005-09-01,Great Britain,Clothing & Footwear,87.02670071733107
2005-09-01,Great Britain,Department Stores,80.06494699784841
2005-09-01,Great Britain,Electronics & Appliances,117.34636550914624
2005-09-01,Great Britain,Nonstore/Online,46.76616687719533
2005-09-01,Great Britain,Supermarkets & Grocery,84.53072449283778
2005-09-01,New Zealand,Building Materials & Garden,97.30642494459232
2005-09-01,New Zealand,Clothing & Footwear,81.30209723037515
2005-09-01,New Zealand,Department Stores,82.90020439792457
2005-09-01,New Zealand,Nonstore / Online,53.82607221562977
2005-09-01,New Zealand,Supermarkets & Grocery,95.051163967078
2005-09-01,United States,Building Materials & Garden,106.4090138114853
2005-09-01,United States,Clothing & Footwear,106.4090138114853
2005-09-01,United States,Department Stores,106.4090138114853
2005-09-01,United States,Electronics & Appliances,106.4090138114853
2005-09-01,United States,Nonstore / Online,106.4090138114853
2005-09-01,United States,Supermarkets & Grocery,106.4090138114853
2005-10-01,Australia,Clothing & Footwear,71.06199446549373
2005-10-01,Australia,Department Stores,87.30544694981525
2005-10-01,Australia,Nonstore / Online,62.70842102445944
2005-10-01,Australia,Supermarkets & Grocery,60.91942020002627
2005-10-01,Great Britain,Building Materials & Garden,81.92139354892707
2005-10-01,Great Britain,Clothing & Footwear,68.92821026817309
2005-10-01,Great Britain,Department Stores,63.994062707867386
2005-10-01,Great Britain,Electronics & Appliances,94.77942559346556
2005-10-01,Great Britain,Nonstore/Online,38.47640180872391
2005-10-01,Great Britain,Supermarkets & Grocery,67.98563631762029
2005-10-01,New Zealand,Building Materials & Garden,98.43920400576944
2005-10-01,New Zealand,Clothing & Footwear,85.29804151769038
2005-10-01,New Zealand,Department Stores,83.06192583275308
2005-10-01,New Zealand,Nonstore / Online,54.47703000508562
2005-10-01,New Zealand,Supermarkets & Grocery,96.39481088828236
2005-10-01,United States,Building Materials & Garden,108.1051611339956
2005-10-01,United States,Clothing & Footwear,108.1051611339956
2005-10-01,United States,Department Stores,108.1051611339956
2005-10-01,United States,Electronics & Appliances,108.1051611339956
2005-10-01,United States,Nonstore / Online,108.1051611339956
2005-10-01,United States,Supermarkets & Grocery,108.1051611339956
2005-11-01,Australia,Clothing & Footwear,70.85944752657318
2005-11-01,Australia,Department Stores,87.80033206577046
2005-11-01,Australia,Nonstore / Online,63.14345011155527
2005-11-01,Australia,Supermarkets & Grocery,60.95580086303018
2005-11-01,Great Britain,Building Materials & Garden,80.97847713819084
2005-11-01,Great Britain,Clothing & Footwear,72.17088325404158
2005-11-01,Great Britain,Department Stores,65.29701234803534
2005-11-01,Great Britain,Electronics & Appliances,93.53880560635682
2005-11-01,Great Britain,Nonstore/Online,37.730180155234365
2005-11-01,Great Britain,Supermarkets & Grocery,68.64590102275054
2005-11-01,New Zealand,Building Materials & Garden,98.43920400576944
2005-11-01,New Zealand,Clothing & Footwear,85.29804151769038
2005-11-01,New Zealand,Department Stores,83.06192583275308
2005-11-01,New Zealand,Nonstore / Online,54.47703000508562
2005-11-01,New Zealand,Supermarkets & Grocery,96.39481088828236
2005-11-01,United States,Building Materials & Garden,106.6028592197722
2005-11-01,United States,Clothing & Footwear,106.6028592197722
2005-11-01,United States,Department Stores,106.6028592197722
2005-11-01,United States,Electronics & Appliances,106.6028592197722
2005-11-01,United States,Nonstore / Online,106.6028592197722
2005-11-01,United States,Supermarkets & Grocery,106.6028592197722
2005-12-01,Australia,Clothing & Footwear,70.42770273571621
2005-12-01,Australia,Department Stores,87.24117615553536
2005-12-01,Australia,Nonstore / Online,63.87336468721942
2005-12-01,Australia,Supermarkets & Grocery,61.25189903692301
2005-12-01,Great Britain,Building Materials & Garden,99.84835137104552
2005-12-01,Great Britain,Clothing & Footwear,87.92456807026713
2005-12-01,Great Britain,Department Stores,81.79424316828636
2005-12-01,Great Britain,Electronics & Appliances,119.60366444584383
2005-12-01,Great Britain,Nonstore/Online,48.633178557601255
2005-12-01,Great Britain,Supermarkets & Grocery,85.57371695079503
2005-12-01,New Zealand,Building Materials & Garden,98.43920400576944
2005-12-01,New Zealand,Clothing & Footwear,85.29804151769038
2005-12-01,New Zealand,Department Stores,83.06192583275308
2005-12-01,New Zealand,Nonstore / Online,54.47703000508562
2005-12-01,New Zealand,Supermarkets & Grocery,96.39481088828236
2005-12-01,United States,Building Materials & Garden,106.3484371213957
2005-12-01,United States,Clothing & Footwear,106.3484371213957
2005-12-01,United States,Department Stores,106.3484371213957
2005-12-01,United States,Electronics & Appliances,106.3484371213957
2005-12-01,United States,Nonstore / Online,106.3484371213957
2005-12-01,United States,Supermarkets & Grocery,106.3484371213957
2006-01-01,Australia,Clothing & Footwear,71.83487094295371
